Competition,Wk,Time,Home,Home_URL,xG,Score,Away,Away_URL,Attendance,Venue,Referee,Match Report,Match Report_URL,Notes
Europa League,1,18:45(19:45),Midtjyllanddk,https://fbref.com/en/squads/3c4fb635/Midtjylland-Stats,,,atSturm Graz,https://fbref.com/en/squads/3f4fe568/Sturm-Graz-Stats,,MCH Arena,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/3f4fe568/3c4fb635/Sturm-Graz-vs-Midtjylland-History,
Europa League,1,19:45,PAOKgr,https://fbref.com/en/squads/5a5e7874/PAOK-Stats,,,ilMaccabi Tel Aviv,https://fbref.com/en/squads/04c011d8/Maccabi-Tel-Aviv-Stats,,Stadio Toumbas,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/5a5e7874/04c011d8/PAOK-vs-Maccabi-Tel-Aviv-FC-History,
Europa League,1,20:00(22:00),Bragapt,https://fbref.com/en/squads/69d84c29/Braga-Stats,,,nlFeyenoord,https://fbref.com/en/squads/fb4ca611/Feyenoord-Stats,,Estádio Municipal de Braga,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/fb4ca611/69d84c29/Feyenoord-vs-Braga-History,
Europa League,1,21:00(22:00),Freiburgde,https://fbref.com/en/squads/a486e511/Freiburg-Stats,,,chBasel,https://fbref.com/en/squads/d3d9424a/Basel-Stats,,Europa-Park Stadion,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/d3d9424a/a486e511/Basel-vs-Freiburg-History,
Europa League,1,21:00(22:00),Dinamo Zagrebhr,https://fbref.com/en/squads/edd0d381/Dinamo-Zagreb-Stats,,,trFenerbahçe,https://fbref.com/en/squads/ae1e2d7d/Fenerbahce-Stats,,Stadion Maksimir,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/edd0d381/ae1e2d7d/Dinamo-Zagreb-vs-Fenerbahce-History,
Europa League,1,21:00(22:00),Malmöse,https://fbref.com/en/squads/f3d8c8b9/2025-2026/Malmo-Stats,,,bgLudogorets,https://fbref.com/en/squads/488c6ba1/Ludogorets-Razgrad-Stats,,Eleda Stadion,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/f3d8c8b9/488c6ba1/Malmo-vs-Ludogorets-Razgrad-History,
Europa League,1,21:00(22:00),Betises,https://fbref.com/en/squads/fc536746/Real-Betis-Stats,,,engNott'ham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats,,Estadio La Cartuja de Sevilla,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/fc536746/e4a775cb/Real-Betis-vs-Nottingham-Forest-History,
Europa League,1,21:00(22:00),Nicefr,https://fbref.com/en/squads/132ebc33/Nice-Stats,,,itRoma,https://fbref.com/en/squads/cf74a709/Roma-Stats,,Allianz Riviera,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/cf74a709/132ebc33/Roma-vs-Nice-History,
Europa League,1,21:00(22:00),Red Starrs,https://fbref.com/en/squads/099c6eb5/Red-Star-Stats,,,sctCeltic,https://fbref.com/en/squads/b81aa4fa/Celtic-Stats,,Stadion Rajko Mitić,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/b81aa4fa/099c6eb5/Celtic-vs-Red-Star-History,
Copa Libertadores,,21:30(03:30),Palmeirasbr,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,,,arRiver Plate,https://fbref.com/en/squads/ef99c78c/River-Plate-Stats,,Allianz Parque,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/ef99c78c/abdce579/River-Plate-vs-Palmeiras-History,Leg 2 of 2; River Plate 1:2 Palmeiras
Copa Sudamericana,,19:00(01:00),Atlético Mineirobr,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,,,boBolívar,https://fbref.com/en/squads/e69cb5b6/Bolivar-Stats,,Arena MRV,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/e69cb5b6/422bb734/Bolivar-vs-Atletico-Mineiro-History,Leg 2 of 2; Bolívar 2:2 Atlético Mineiro
Copa Sudamericana,,19:30(03:30),Once Caldasco,https://fbref.com/en/squads/af8be55a/Once-Caldas-Stats,,,ecIndependiente,https://fbref.com/en/squads/990519b8/Independiente-del-Valle-Stats,,Estadio Palogrande,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/af8be55a/990519b8/Once-Caldas-vs-Independiente-del-Valle-History,Leg 2 of 2; Independiente 0:2 Once Caldas
engNational League,11,19:45(21:45),Tamworth,https://fbref.com/en/squads/6711b681/Tamworth-Stats,,,Wealdstone,https://fbref.com/en/squads/6598bf6b/Wealdstone-Stats,,The Lamb Ground,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/6711b681/6598bf6b/Tamworth-vs-Wealdstone-FC-History,
engNational League,11,19:45(21:45),Boston United,https://fbref.com/en/squads/74a48ef5/Boston-United-Stats,,,Braintree Town,https://fbref.com/en/squads/6cbef56e/Braintree-Town-Stats,,The Jakemans Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/74a48ef5/6cbef56e/Boston-United-vs-Braintree-Town-History,
engNational League,11,19:45(21:45),Scunthorpe Utd,https://fbref.com/en/squads/3149e189/Scunthorpe-United-Stats,,,Boreham Wood,https://fbref.com/en/squads/8550eb99/Boreham-Wood-Stats,,Attis Arena,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/8550eb99/3149e189/Boreham-Wood-vs-Scunthorpe-United-History,
engNational League,11,19:45(21:45),Eastleigh,https://fbref.com/en/squads/962bc612/Eastleigh-Stats,,,Southend United,https://fbref.com/en/squads/2b9f86b0/Southend-United-Stats,,Silverlake Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/962bc612/2b9f86b0/Eastleigh-vs-Southend-United-History,
engNational League,11,19:45(21:45),Morecambe,https://fbref.com/en/squads/6ca73159/Morecambe-Stats,,,FC Halifax Town,https://fbref.com/en/squads/38154f92/FC-Halifax-Town-Stats,,Mazuma Mobile Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/6ca73159/38154f92/Morecambe-vs-FC-Halifax-Town-History,
engNational League,11,19:45(21:45),Aldershot Town,https://fbref.com/en/squads/a8290768/Aldershot-Town-Stats,,,Yeovil Town,https://fbref.com/en/squads/bd5179b9/Yeovil-Town-Stats,,The EBB Stadium at The Recreation Ground,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/bd5179b9/a8290768/Yeovil-Town-vs-Aldershot-Town-History,
engEFL Cup,,19:45(21:45),Tottenham,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats,,,Doncaster,https://fbref.com/en/squads/03d10d77/Doncaster-Rovers-Stats,,Tottenham Hotspur Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/361ca564/03d10d77/Tottenham-Hotspur-vs-Doncaster-Rovers-History,
engEFL Cup,,19:45(21:45),Huddersfield,https://fbref.com/en/squads/f5922ca5/Huddersfield-Town-Stats,,,Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats,,Accu Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/f5922ca5/b8fd03ef/Huddersfield-Town-vs-Manchester-City-History,
engEFL Cup,,19:45(21:45),Newcastle Utd,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats,,,Bradford City,https://fbref.com/en/squads/3148d79f/Bradford-City-Stats,,St James' Park,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/b2b47a98/3148d79f/Newcastle-United-vs-Bradford-City-History,
engEFL Cup,,20:00(22:00),Port Vale,https://fbref.com/en/squads/62657aa0/Port-Vale-Stats,,,Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats,,Vale Park,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/62657aa0/18bb7c10/Port-Vale-vs-Arsenal-History,
